year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,OHIO,OH,KNOX,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13393,21260,TOTAL
2000,OHIO,OH,KNOX,US PRESIDENT,RALPH NADER,GREEN,452,21260,TOTAL
2000,OHIO,OH,KNOX,US PRESIDENT,OTHER,OTHER,282,21260,TOTAL
2000,OHIO,OH,LAKE,US PRESIDENT,AL GORE,DEMOCRAT,46497,102564,TOTAL
2000,OHIO,OH,LAKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,51747,102564,TOTAL
2000,OHIO,OH,LAKE,US PRESIDENT,RALPH NADER,GREEN,3166,102564,TOTAL
2000,OHIO,OH,LAKE,US PRESIDENT,OTHER,OTHER,1154,102564,TOTAL
2000,OHIO,OH,LAWRENCE,US PRESIDENT,AL GORE,DEMOCRAT,11307,24452,TOTAL
2000,OHIO,OH,LAWRENCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12531,24452,TOTAL
2000,OHIO,OH,LAWRENCE,US PRESIDENT,RALPH NADER,GREEN,402,24452,TOTAL
2000,OHIO,OH,LAWRENCE,US PRESIDENT,OTHER,OTHER,212,24452,TOTAL
2000,OHIO,OH,LICKING,US PRESIDENT,AL GORE,DEMOCRAT,23196,62466,TOTAL
2000,OHIO,OH,LICKING,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,37180,62466,TOTAL
2000,OHIO,OH,LICKING,US PRESIDENT,RALPH NADER,GREEN,1498,62466,TOTAL
2000,OHIO,OH,LICKING,US PRESIDENT,OTHER,OTHER,592,62466,TOTAL
2000,OHIO,OH,LOGAN,US PRESIDENT,AL GORE,DEMOCRAT,5945,18455,TOTAL
2000,OHIO,OH,LOGAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11849,18455,TOTAL
2000,OHIO,OH,LOGAN,US PRESIDENT,RALPH NADER,GREEN,449,18455,TOTAL
2000,OHIO,OH,LOGAN,US PRESIDENT,OTHER,OTHER,212,18455,TOTAL
2000,OHIO,OH,LORAIN,US PRESIDENT,AL GORE,DEMOCRAT,59809,112180,TOTAL
2000,OHIO,OH,LORAIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,47957,112180,TOTAL
2000,OHIO,OH,LORAIN,US PRESIDENT,RALPH NADER,GREEN,3183,112180,TOTAL
2000,OHIO,OH,LORAIN,US PRESIDENT,OTHER,OTHER,1231,112180,TOTAL
2000,OHIO,OH,LUCAS,US PRESIDENT,AL GORE,DEMOCRAT,108344,187350,TOTAL
2000,OHIO,OH,LUCAS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,73342,187350,TOTAL
2000,OHIO,OH,LUCAS,US PRESIDENT,RALPH NADER,GREEN,4227,187350,TOTAL
2000,OHIO,OH,LUCAS,US PRESIDENT,OTHER,OTHER,1437,187350,TOTAL
2000,OHIO,OH,MADISON,US PRESIDENT,AL GORE,DEMOCRAT,5287,14667,TOTAL
2000,OHIO,OH,MADISON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8892,14667,TOTAL
2000,OHIO,OH,MADISON,US PRESIDENT,RALPH NADER,GREEN,299,14667,TOTAL
2000,OHIO,OH,MADISON,US PRESIDENT,OTHER,OTHER,189,14667,TOTAL
2000,OHIO,OH,MAHONING,US PRESIDENT,AL GORE,DEMOCRAT,69212,114119,TOTAL
2000,OHIO,OH,MAHONING,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40460,114119,TOTAL
2000,OHIO,OH,MAHONING,US PRESIDENT,RALPH NADER,GREEN,3322,114119,TOTAL
2000,OHIO,OH,MAHONING,US PRESIDENT,OTHER,OTHER,1125,114119,TOTAL
2000,OHIO,OH,MARION,US PRESIDENT,AL GORE,DEMOCRAT,10370,24815,TOTAL
2000,OHIO,OH,MARION,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13617,24815,TOTAL
2000,OHIO,OH,MARION,US PRESIDENT,RALPH NADER,GREEN,588,24815,TOTAL
2000,OHIO,OH,MARION,US PRESIDENT,OTHER,OTHER,240,24815,TOTAL
2000,OHIO,OH,MEDINA,US PRESIDENT,AL GORE,DEMOCRAT,26635,66883,TOTAL
2000,OHIO,OH,MEDINA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,37349,66883,TOTAL
2000,OHIO,OH,MEDINA,US PRESIDENT,RALPH NADER,GREEN,1960,66883,TOTAL
2000,OHIO,OH,MEDINA,US PRESIDENT,OTHER,OTHER,939,66883,TOTAL
2000,OHIO,OH,MEIGS,US PRESIDENT,AL GORE,DEMOCRAT,3674,9795,TOTAL
2000,OHIO,OH,MEIGS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5750,9795,TOTAL
2000,OHIO,OH,MEIGS,US PRESIDENT,RALPH NADER,GREEN,226,9795,TOTAL
2000,OHIO,OH,MEIGS,US PRESIDENT,OTHER,OTHER,145,9795,TOTAL
2000,OHIO,OH,MERCER,US PRESIDENT,AL GORE,DEMOCRAT,5212,18294,TOTAL
2000,OHIO,OH,MERCER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12485,18294,TOTAL
2000,OHIO,OH,MERCER,US PRESIDENT,RALPH NADER,GREEN,392,18294,TOTAL
2000,OHIO,OH,MERCER,US PRESIDENT,OTHER,OTHER,205,18294,TOTAL
2000,OHIO,OH,MIAMI,US PRESIDENT,AL GORE,DEMOCRAT,15584,42841,TOTAL
2000,OHIO,OH,MIAMI,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,26037,42841,TOTAL
2000,OHIO,OH,MIAMI,US PRESIDENT,RALPH NADER,GREEN,879,42841,TOTAL
2000,OHIO,OH,MIAMI,US PRESIDENT,OTHER,OTHER,341,42841,TOTAL
2000,OHIO,OH,MONROE,US PRESIDENT,AL GORE,DEMOCRAT,3605,7115,TOTAL
2000,OHIO,OH,MONROE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3145,7115,TOTAL
2000,OHIO,OH,MONROE,US PRESIDENT,RALPH NADER,GREEN,149,7115,TOTAL
2000,OHIO,OH,MONROE,US PRESIDENT,OTHER,OTHER,216,7115,TOTAL
2000,OHIO,OH,MONTGOMERY,US PRESIDENT,AL GORE,DEMOCRAT,114597,230987,TOTAL
2000,OHIO,OH,MONTGOMERY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,109792,230987,TOTAL
2000,OHIO,OH,MONTGOMERY,US PRESIDENT,RALPH NADER,GREEN,4690,230987,TOTAL
2000,OHIO,OH,MONTGOMERY,US PRESIDENT,OTHER,OTHER,1908,230987,TOTAL
2000,OHIO,OH,MORGAN,US PRESIDENT,AL GORE,DEMOCRAT,2261,5993,TOTAL
2000,OHIO,OH,MORGAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3451,5993,TOTAL
2000,OHIO,OH,MORGAN,US PRESIDENT,RALPH NADER,GREEN,177,5993,TOTAL
2000,OHIO,OH,MORGAN,US PRESIDENT,OTHER,OTHER,104,5993,TOTAL
2000,OHIO,OH,MORROW,US PRESIDENT,AL GORE,DEMOCRAT,4529,12839,TOTAL
2000,OHIO,OH,MORROW,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7842,12839,TOTAL
2000,OHIO,OH,MORROW,US PRESIDENT,RALPH NADER,GREEN,305,12839,TOTAL
2000,OHIO,OH,MORROW,US PRESIDENT,OTHER,OTHER,163,12839,TOTAL
2000,OHIO,OH,MUSKINGUM,US PRESIDENT,AL GORE,DEMOCRAT,13415,32624,TOTAL
2000,OHIO,OH,MUSKINGUM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17995,32624,TOTAL
2000,OHIO,OH,MUSKINGUM,US PRESIDENT,RALPH NADER,GREEN,882,32624,TOTAL
2000,OHIO,OH,MUSKINGUM,US PRESIDENT,OTHER,OTHER,332,32624,TOTAL
2000,OHIO,OH,NOBLE,US PRESIDENT,AL GORE,DEMOCRAT,2296,5988,TOTAL
2000,OHIO,OH,NOBLE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3435,5988,TOTAL
2000,OHIO,OH,NOBLE,US PRESIDENT,RALPH NADER,GREEN,154,5988,TOTAL
2000,OHIO,OH,NOBLE,US PRESIDENT,OTHER,OTHER,103,5988,TOTAL
2000,OHIO,OH,OTTAWA,US PRESIDENT,AL GORE,DEMOCRAT,9485,19968,TOTAL
2000,OHIO,OH,OTTAWA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9917,19968,TOTAL
2000,OHIO,OH,OTTAWA,US PRESIDENT,RALPH NADER,GREEN,432,19968,TOTAL
2000,OHIO,OH,OTTAWA,US PRESIDENT,OTHER,OTHER,134,19968,TOTAL
2000,OHIO,OH,PAULDING,US PRESIDENT,AL GORE,DEMOCRAT,3384,8946,TOTAL
2000,OHIO,OH,PAULDING,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5210,8946,TOTAL
2000,OHIO,OH,PAULDING,US PRESIDENT,RALPH NADER,GREEN,242,8946,TOTAL
2000,OHIO,OH,PAULDING,US PRESIDENT,OTHER,OTHER,110,8946,TOTAL
2000,OHIO,OH,PERRY,US PRESIDENT,AL GORE,DEMOCRAT,5895,12828,TOTAL
2000,OHIO,OH,PERRY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6440,12828,TOTAL
2000,OHIO,OH,PERRY,US PRESIDENT,RALPH NADER,GREEN,334,12828,TOTAL
2000,OHIO,OH,PERRY,US PRESIDENT,OTHER,OTHER,159,12828,TOTAL
2000,OHIO,OH,PICKAWAY,US PRESIDENT,AL GORE,DEMOCRAT,6598,17740,TOTAL
2000,OHIO,OH,PICKAWAY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10717,17740,TOTAL
2000,OHIO,OH,PICKAWAY,US PRESIDENT,RALPH NADER,GREEN,276,17740,TOTAL
2000,OHIO,OH,PICKAWAY,US PRESIDENT,OTHER,OTHER,149,17740,TOTAL
2000,OHIO,OH,PIKE,US PRESIDENT,AL GORE,DEMOCRAT,4923,10560,TOTAL
2000,OHIO,OH,PIKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5333,10560,TOTAL
2000,OHIO,OH,PIKE,US PRESIDENT,RALPH NADER,GREEN,176,10560,TOTAL
2000,OHIO,OH,PIKE,US PRESIDENT,OTHER,OTHER,128,10560,TOTAL
2000,OHIO,OH,PORTAGE,US PRESIDENT,AL GORE,DEMOCRAT,31446,62899,TOTAL
2000,OHIO,OH,PORTAGE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28271,62899,TOTAL
2000,OHIO,OH,PORTAGE,US PRESIDENT,RALPH NADER,GREEN,2340,62899,TOTAL
2000,OHIO,OH,PORTAGE,US PRESIDENT,OTHER,OTHER,842,62899,TOTAL
2000,OHIO,OH,PREBLE,US PRESIDENT,AL GORE,DEMOCRAT,6375,18166,TOTAL
2000,OHIO,OH,PREBLE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11176,18166,TOTAL
2000,OHIO,OH,PREBLE,US PRESIDENT,RALPH NADER,GREEN,404,18166,TOTAL
2000,OHIO,OH,PREBLE,US PRESIDENT,OTHER,OTHER,211,18166,TOTAL
2000,OHIO,OH,PUTNAM,US PRESIDENT,AL GORE,DEMOCRAT,4063,17344,TOTAL
2000,OHIO,OH,PUTNAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12837,17344,TOTAL
2000,OHIO,OH,PUTNAM,US PRESIDENT,RALPH NADER,GREEN,254,17344,TOTAL
2000,OHIO,OH,PUTNAM,US PRESIDENT,OTHER,OTHER,190,17344,TOTAL
2000,OHIO,OH,RICHLAND,US PRESIDENT,AL GORE,DEMOCRAT,20572,52779,TOTAL
2000,OHIO,OH,RICHLAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,30138,52779,TOTAL
2000,OHIO,OH,RICHLAND,US PRESIDENT,RALPH NADER,GREEN,1306,52779,TOTAL
2000,OHIO,OH,RICHLAND,US PRESIDENT,OTHER,OTHER,763,52779,TOTAL
2000,OHIO,OH,ROSS,US PRESIDENT,AL GORE,DEMOCRAT,11662,26016,TOTAL
2000,OHIO,OH,ROSS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13706,26016,TOTAL
2000,OHIO,OH,ROSS,US PRESIDENT,RALPH NADER,GREEN,421,26016,TOTAL
2000,OHIO,OH,ROSS,US PRESIDENT,OTHER,OTHER,227,26016,TOTAL
2000,OHIO,OH,SANDUSKY,US PRESIDENT,AL GORE,DEMOCRAT,11146,25744,TOTAL
2000,OHIO,OH,SANDUSKY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13699,25744,TOTAL
2000,OHIO,OH,SANDUSKY,US PRESIDENT,RALPH NADER,GREEN,587,25744,TOTAL
2000,OHIO,OH,SANDUSKY,US PRESIDENT,OTHER,OTHER,312,25744,TOTAL
2000,OHIO,OH,SCIOTO,US PRESIDENT,AL GORE,DEMOCRAT,13997,29945,TOTAL
2000,OHIO,OH,SCIOTO,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15022,29945,TOTAL
2000,OHIO,OH,SCIOTO,US PRESIDENT,RALPH NADER,GREEN,590,29945,TOTAL
2000,OHIO,OH,SCIOTO,US PRESIDENT,OTHER,OTHER,336,29945,TOTAL
2000,OHIO,OH,SENECA,US PRESIDENT,AL GORE,DEMOCRAT,9512,24351,TOTAL
2000,OHIO,OH,SENECA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13863,24351,TOTAL
2000,OHIO,OH,SENECA,US PRESIDENT,RALPH NADER,GREEN,666,24351,TOTAL
2000,OHIO,OH,SENECA,US PRESIDENT,OTHER,OTHER,310,24351,TOTAL
2000,OHIO,OH,SHELBY,US PRESIDENT,AL GORE,DEMOCRAT,6593,19670,TOTAL
2000,OHIO,OH,SHELBY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12476,19670,TOTAL
2000,OHIO,OH,SHELBY,US PRESIDENT,RALPH NADER,GREEN,392,19670,TOTAL
2000,OHIO,OH,SHELBY,US PRESIDENT,OTHER,OTHER,209,19670,TOTAL
2000,OHIO,OH,STARK,US PRESIDENT,AL GORE,DEMOCRAT,75308,159844,TOTAL
2000,OHIO,OH,STARK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,78153,159844,TOTAL
2000,OHIO,OH,STARK,US PRESIDENT,RALPH NADER,GREEN,4032,159844,TOTAL
2000,OHIO,OH,STARK,US PRESIDENT,OTHER,OTHER,2351,159844,TOTAL
2000,OHIO,OH,SUMMIT,US PRESIDENT,AL GORE,DEMOCRAT,119759,224839,TOTAL
2000,OHIO,OH,SUMMIT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,96721,224839,TOTAL
2000,OHIO,OH,SUMMIT,US PRESIDENT,RALPH NADER,GREEN,5955,224839,TOTAL
2000,OHIO,OH,SUMMIT,US PRESIDENT,OTHER,OTHER,2404,224839,TOTAL
2000,OHIO,OH,TRUMBULL,US PRESIDENT,AL GORE,DEMOCRAT,57643,96239,TOTAL
2000,OHIO,OH,TRUMBULL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34654,96239,TOTAL
2000,OHIO,OH,TRUMBULL,US PRESIDENT,RALPH NADER,GREEN,2749,96239,TOTAL
2000,OHIO,OH,TRUMBULL,US PRESIDENT,OTHER,OTHER,1193,96239,TOTAL
2000,OHIO,OH,TUSCARAWAS,US PRESIDENT,AL GORE,DEMOCRAT,15879,37118,TOTAL
2000,OHIO,OH,TUSCARAWAS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19549,37118,TOTAL
2000,OHIO,OH,TUSCARAWAS,US PRESIDENT,RALPH NADER,GREEN,1061,37118,TOTAL
2000,OHIO,OH,TUSCARAWAS,US PRESIDENT,OTHER,OTHER,629,37118,TOTAL
2000,OHIO,OH,UNION,US PRESIDENT,AL GORE,DEMOCRAT,5040,17024,TOTAL
2000,OHIO,OH,UNION,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11502,17024,TOTAL
2000,OHIO,OH,UNION,US PRESIDENT,RALPH NADER,GREEN,336,17024,TOTAL
2000,OHIO,OH,UNION,US PRESIDENT,OTHER,OTHER,146,17024,TOTAL
2000,OHIO,OH,VAN WERT,US PRESIDENT,AL GORE,DEMOCRAT,4209,13219,TOTAL
2000,OHIO,OH,VAN WERT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8679,13219,TOTAL
2000,OHIO,OH,VAN WERT,US PRESIDENT,RALPH NADER,GREEN,216,13219,TOTAL
2000,OHIO,OH,VAN WERT,US PRESIDENT,OTHER,OTHER,115,13219,TOTAL
2000,OHIO,OH,VINTON,US PRESIDENT,AL GORE,DEMOCRAT,2037,4946,TOTAL
2000,OHIO,OH,VINTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2720,4946,TOTAL
2000,OHIO,OH,VINTON,US PRESIDENT,RALPH NADER,GREEN,110,4946,TOTAL
2000,OHIO,OH,VINTON,US PRESIDENT,OTHER,OTHER,79,4946,TOTAL
2000,OHIO,OH,WARREN,US PRESIDENT,AL GORE,DEMOCRAT,19142,69078,TOTAL
2000,OHIO,OH,WARREN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,48318,69078,TOTAL
2000,OHIO,OH,WARREN,US PRESIDENT,RALPH NADER,GREEN,1067,69078,TOTAL
2000,OHIO,OH,WARREN,US PRESIDENT,OTHER,OTHER,551,69078,TOTAL
2000,OHIO,OH,WASHINGTON,US PRESIDENT,AL GORE,DEMOCRAT,10383,26515,TOTAL
2000,OHIO,OH,WASHINGTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15342,26515,TOTAL
2000,OHIO,OH,WASHINGTON,US PRESIDENT,RALPH NADER,GREEN,571,26515,TOTAL
2000,OHIO,OH,WASHINGTON,US PRESIDENT,OTHER,OTHER,219,26515,TOTAL
2000,OHIO,OH,WAYNE,US PRESIDENT,AL GORE,DEMOCRAT,14779,42436,TOTAL
2000,OHIO,OH,WAYNE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25901,42436,TOTAL
2000,OHIO,OH,WAYNE,US PRESIDENT,RALPH NADER,GREEN,1171,42436,TOTAL
2000,OHIO,OH,WAYNE,US PRESIDENT,OTHER,OTHER,585,42436,TOTAL
2000,OHIO,OH,WILLIAMS,US PRESIDENT,AL GORE,DEMOCRAT,5454,15919,TOTAL
2000,OHIO,OH,WILLIAMS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9941,15919,TOTAL
2000,OHIO,OH,WILLIAMS,US PRESIDENT,RALPH NADER,GREEN,347,15919,TOTAL
2000,OHIO,OH,WILLIAMS,US PRESIDENT,OTHER,OTHER,177,15919,TOTAL
2000,OHIO,OH,WOOD,US PRESIDENT,AL GORE,DEMOCRAT,22687,52194,TOTAL
2000,OHIO,OH,WOOD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,27504,52194,TOTAL
2000,OHIO,OH,WOOD,US PRESIDENT,RALPH NADER,GREEN,1536,52194,TOTAL
2000,OHIO,OH,WOOD,US PRESIDENT,OTHER,OTHER,467,52194,TOTAL
2000,OHIO,OH,WYANDOT,US PRESIDENT,AL GORE,DEMOCRAT,3397,9827,TOTAL
2000,OHIO,OH,WYANDOT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6113,9827,TOTAL
2000,OHIO,OH,WYANDOT,US PRESIDENT,RALPH NADER,GREEN,191,9827,TOTAL
2000,OHIO,OH,WYANDOT,US PRESIDENT,OTHER,OTHER,126,9827,TOTAL
2000,OKLAHOMA,OK,ADAIR,US PRESIDENT,AL GORE,DEMOCRAT,2361,5977,TOTAL
2000,OKLAHOMA,OK,ADAIR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3503,5977,TOTAL
2000,OKLAHOMA,OK,ADAIR,US PRESIDENT,RALPH NADER,GREEN,0,5977,TOTAL
2000,OKLAHOMA,OK,ADAIR,US PRESIDENT,OTHER,OTHER,113,5977,TOTAL
2000,OKLAHOMA,OK,ALFALFA,US PRESIDENT,AL GORE,DEMOCRAT,583,2507,TOTAL
2000,OKLAHOMA,OK,ALFALFA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1886,2507,TOTAL
2000,OKLAHOMA,OK,ALFALFA,US PRESIDENT,RALPH NADER,GREEN,0,2507,TOTAL
2000,OKLAHOMA,OK,ALFALFA,US PRESIDENT,OTHER,OTHER,38,2507,TOTAL
2000,OKLAHOMA,OK,ATOKA,US PRESIDENT,AL GORE,DEMOCRAT,1906,4324,TOTAL
2000,OKLAHOMA,OK,ATOKA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2375,4324,TOTAL
2000,OKLAHOMA,OK,ATOKA,US PRESIDENT,RALPH NADER,GREEN,0,4324,TOTAL
2000,OKLAHOMA,OK,ATOKA,US PRESIDENT,OTHER,OTHER,43,4324,TOTAL
2000,OKLAHOMA,OK,BEAVER,US PRESIDENT,AL GORE,DEMOCRAT,339,2456,TOTAL
2000,OKLAHOMA,OK,BEAVER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2092,2456,TOTAL
2000,OKLAHOMA,OK,BEAVER,US PRESIDENT,RALPH NADER,GREEN,0,2456,TOTAL
2000,OKLAHOMA,OK,BEAVER,US PRESIDENT,OTHER,OTHER,25,2456,TOTAL
2000,OKLAHOMA,OK,BECKHAM,US PRESIDENT,AL GORE,DEMOCRAT,2408,6532,TOTAL
2000,OKLAHOMA,OK,BECKHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4067,6532,TOTAL
2000,OKLAHOMA,OK,BECKHAM,US PRESIDENT,RALPH NADER,GREEN,0,6532,TOTAL
2000,OKLAHOMA,OK,BECKHAM,US PRESIDENT,OTHER,OTHER,57,6532,TOTAL
2000,OKLAHOMA,OK,BLAINE,US PRESIDENT,AL GORE,DEMOCRAT,1402,4094,TOTAL
2000,OKLAHOMA,OK,BLAINE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2633,4094,TOTAL
2000,OKLAHOMA,OK,BLAINE,US PRESIDENT,RALPH NADER,GREEN,0,4094,TOTAL
2000,OKLAHOMA,OK,BLAINE,US PRESIDENT,OTHER,OTHER,59,4094,TOTAL
2000,OKLAHOMA,OK,BRYAN,US PRESIDENT,AL GORE,DEMOCRAT,5554,11746,TOTAL
2000,OKLAHOMA,OK,BRYAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6084,11746,TOTAL
2000,OKLAHOMA,OK,BRYAN,US PRESIDENT,RALPH NADER,GREEN,0,11746,TOTAL
2000,OKLAHOMA,OK,BRYAN,US PRESIDENT,OTHER,OTHER,108,11746,TOTAL
2000,OKLAHOMA,OK,CADDO,US PRESIDENT,AL GORE,DEMOCRAT,4272,9210,TOTAL
2000,OKLAHOMA,OK,CADDO,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4835,9210,TOTAL
2000,OKLAHOMA,OK,CADDO,US PRESIDENT,RALPH NADER,GREEN,0,9210,TOTAL
2000,OKLAHOMA,OK,CADDO,US PRESIDENT,OTHER,OTHER,103,9210,TOTAL
2000,OKLAHOMA,OK,CANADIAN,US PRESIDENT,AL GORE,DEMOCRAT,8367,31360,TOTAL
2000,OKLAHOMA,OK,CANADIAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22679,31360,TOTAL
2000,OKLAHOMA,OK,CANADIAN,US PRESIDENT,RALPH NADER,GREEN,0,31360,TOTAL
2000,OKLAHOMA,OK,CANADIAN,US PRESIDENT,OTHER,OTHER,314,31360,TOTAL
2000,OKLAHOMA,OK,CARTER,US PRESIDENT,AL GORE,DEMOCRAT,6659,16458,TOTAL
2000,OKLAHOMA,OK,CARTER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9667,16458,TOTAL
2000,OKLAHOMA,OK,CARTER,US PRESIDENT,RALPH NADER,GREEN,0,16458,TOTAL
2000,OKLAHOMA,OK,CARTER,US PRESIDENT,OTHER,OTHER,132,16458,TOTAL
2000,OKLAHOMA,OK,CHEROKEE,US PRESIDENT,AL GORE,DEMOCRAT,7256,14468,TOTAL
2000,OKLAHOMA,OK,CHEROKEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6918,14468,TOTAL
2000,OKLAHOMA,OK,CHEROKEE,US PRESIDENT,RALPH NADER,GREEN,0,14468,TOTAL
2000,OKLAHOMA,OK,CHEROKEE,US PRESIDENT,OTHER,OTHER,294,14468,TOTAL
2000,OKLAHOMA,OK,CHOCTAW,US PRESIDENT,AL GORE,DEMOCRAT,2799,5315,TOTAL
2000,OKLAHOMA,OK,CHOCTAW,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2461,5315,TOTAL
2000,OKLAHOMA,OK,CHOCTAW,US PRESIDENT,RALPH NADER,GREEN,0,5315,TOTAL
2000,OKLAHOMA,OK,CHOCTAW,US PRESIDENT,OTHER,OTHER,55,5315,TOTAL
2000,OKLAHOMA,OK,CIMARRON,US PRESIDENT,AL GORE,DEMOCRAT,227,1484,TOTAL
2000,OKLAHOMA,OK,CIMARRON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1230,1484,TOTAL
2000,OKLAHOMA,OK,CIMARRON,US PRESIDENT,RALPH NADER,GREEN,0,1484,TOTAL
2000,OKLAHOMA,OK,CIMARRON,US PRESIDENT,OTHER,OTHER,27,1484,TOTAL
2000,OKLAHOMA,OK,CLEVELAND,US PRESIDENT,AL GORE,DEMOCRAT,27792,76171,TOTAL
2000,OKLAHOMA,OK,CLEVELAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,47393,76171,TOTAL
2000,OKLAHOMA,OK,CLEVELAND,US PRESIDENT,RALPH NADER,GREEN,0,76171,TOTAL
2000,OKLAHOMA,OK,CLEVELAND,US PRESIDENT,OTHER,OTHER,986,76171,TOTAL
2000,OKLAHOMA,OK,COAL,US PRESIDENT,AL GORE,DEMOCRAT,1148,2362,TOTAL
2000,OKLAHOMA,OK,COAL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1196,2362,TOTAL
2000,OKLAHOMA,OK,COAL,US PRESIDENT,RALPH NADER,GREEN,0,2362,TOTAL
2000,OKLAHOMA,OK,COAL,US PRESIDENT,OTHER,OTHER,18,2362,TOTAL
2000,OKLAHOMA,OK,COMANCHE,US PRESIDENT,AL GORE,DEMOCRAT,11971,29333,TOTAL
2000,OKLAHOMA,OK,COMANCHE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17103,29333,TOTAL
2000,OKLAHOMA,OK,COMANCHE,US PRESIDENT,RALPH NADER,GREEN,0,29333,TOTAL
2000,OKLAHOMA,OK,COMANCHE,US PRESIDENT,OTHER,OTHER,259,29333,TOTAL
2000,OKLAHOMA,OK,COTTON,US PRESIDENT,AL GORE,DEMOCRAT,1068,2482,TOTAL
2000,OKLAHOMA,OK,COTTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1388,2482,TOTAL
2000,OKLAHOMA,OK,COTTON,US PRESIDENT,RALPH NADER,GREEN,0,2482,TOTAL
2000,OKLAHOMA,OK,COTTON,US PRESIDENT,OTHER,OTHER,26,2482,TOTAL
2000,OKLAHOMA,OK,CRAIG,US PRESIDENT,AL GORE,DEMOCRAT,2568,5484,TOTAL
2000,OKLAHOMA,OK,CRAIG,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2815,5484,TOTAL
2000,OKLAHOMA,OK,CRAIG,US PRESIDENT,RALPH NADER,GREEN,0,5484,TOTAL
2000,OKLAHOMA,OK,CRAIG,US PRESIDENT,OTHER,OTHER,101,5484,TOTAL
2000,OKLAHOMA,OK,CREEK,US PRESIDENT,AL GORE,DEMOCRAT,9753,23741,TOTAL
