year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,ALABAMA,AL,CLARKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5988,10752,TOTAL
2000,ALABAMA,AL,CLARKE,US PRESIDENT,RALPH NADER,GREEN,33,10752,TOTAL
2000,ALABAMA,AL,CLARKE,US PRESIDENT,OTHER,OTHER,52,10752,TOTAL
2000,ALABAMA,AL,CLAY,US PRESIDENT,AL GORE,DEMOCRAT,2045,5883,TOTAL
2000,ALABAMA,AL,CLAY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3719,5883,TOTAL
2000,ALABAMA,AL,CLAY,US PRESIDENT,RALPH NADER,GREEN,52,5883,TOTAL
2000,ALABAMA,AL,CLAY,US PRESIDENT,OTHER,OTHER,67,5883,TOTAL
2000,ALABAMA,AL,CLEBURNE,US PRESIDENT,AL GORE,DEMOCRAT,1664,5092,TOTAL
2000,ALABAMA,AL,CLEBURNE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3333,5092,TOTAL
2000,ALABAMA,AL,CLEBURNE,US PRESIDENT,RALPH NADER,GREEN,39,5092,TOTAL
2000,ALABAMA,AL,CLEBURNE,US PRESIDENT,OTHER,OTHER,56,5092,TOTAL
2000,ALABAMA,AL,COFFEE,US PRESIDENT,AL GORE,DEMOCRAT,5220,15434,TOTAL
2000,ALABAMA,AL,COFFEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9938,15434,TOTAL
2000,ALABAMA,AL,COFFEE,US PRESIDENT,RALPH NADER,GREEN,155,15434,TOTAL
2000,ALABAMA,AL,COFFEE,US PRESIDENT,OTHER,OTHER,121,15434,TOTAL
2000,ALABAMA,AL,COLBERT,US PRESIDENT,AL GORE,DEMOCRAT,10543,21532,TOTAL
2000,ALABAMA,AL,COLBERT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10518,21532,TOTAL
2000,ALABAMA,AL,COLBERT,US PRESIDENT,RALPH NADER,GREEN,208,21532,TOTAL
2000,ALABAMA,AL,COLBERT,US PRESIDENT,OTHER,OTHER,263,21532,TOTAL
2000,ALABAMA,AL,CONECUH,US PRESIDENT,AL GORE,DEMOCRAT,2783,5551,TOTAL
2000,ALABAMA,AL,CONECUH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2699,5551,TOTAL
2000,ALABAMA,AL,CONECUH,US PRESIDENT,RALPH NADER,GREEN,35,5551,TOTAL
2000,ALABAMA,AL,CONECUH,US PRESIDENT,OTHER,OTHER,34,5551,TOTAL
2000,ALABAMA,AL,COOSA,US PRESIDENT,AL GORE,DEMOCRAT,2104,4567,TOTAL
2000,ALABAMA,AL,COOSA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2382,4567,TOTAL
2000,ALABAMA,AL,COOSA,US PRESIDENT,RALPH NADER,GREEN,34,4567,TOTAL
2000,ALABAMA,AL,COOSA,US PRESIDENT,OTHER,OTHER,47,4567,TOTAL
2000,ALABAMA,AL,COVINGTON,US PRESIDENT,AL GORE,DEMOCRAT,4440,13613,TOTAL
2000,ALABAMA,AL,COVINGTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8961,13613,TOTAL
2000,ALABAMA,AL,COVINGTON,US PRESIDENT,RALPH NADER,GREEN,123,13613,TOTAL
2000,ALABAMA,AL,COVINGTON,US PRESIDENT,OTHER,OTHER,89,13613,TOTAL
2000,ALABAMA,AL,CRENSHAW,US PRESIDENT,AL GORE,DEMOCRAT,1934,4795,TOTAL
2000,ALABAMA,AL,CRENSHAW,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2793,4795,TOTAL
2000,ALABAMA,AL,CRENSHAW,US PRESIDENT,RALPH NADER,GREEN,40,4795,TOTAL
2000,ALABAMA,AL,CRENSHAW,US PRESIDENT,OTHER,OTHER,28,4795,TOTAL
2000,ALABAMA,AL,CULLMAN,US PRESIDENT,AL GORE,DEMOCRAT,9758,29525,TOTAL
